യുണൈറ്റഡിന്	For United
ലോഹി	Lohi
ഘട്ടത്തില്‍	At the stage
വളരെയധികം	Very much
നാഴികക്കല്ല്	Milestone
ഗെയിമുകള്‍	Games
ക്വാര്‍ട്ടറിലേക്ക്	To the quarter-finals
ധീര	Brave
കാഴ്ച്ചശക്തിയില്ലാത്തവര്‍ക്ക്	For the visually impaired
ധൈര്യമുളളവനില്ല	He doesn't have courage.
നഷ്ട്ട	Lost
സാധ്യതകള്‍	Possibilities
അരാംകോ	Aramco
ഒപ്പിട്ടു	Signed
ഉണ്ടാകുമെന്നാണ്	That there will be
റൊണാള്‍ഡോയുടെ	Ronaldo's
ആക്ഷേപം	Objection
പലിശ	interest
തുറന്നുന	Opened
എ​ക്സ്പോ​ര്‍​ട്ടേ​ഴ്സ്	Exporters
ഹമ്മര്‍	Hummer
സമനിലകൊണ്ട്	By balance
ക​ല്യാ​ണ്‍	Kalyan
സ്ഥാനാര്‍ത്ഥി	Candidate
സനാ	Sanaa
സോഡാ	Soda
ആവര്‍ത്തിച്ച്‌	Repeatedly
ശക്തിപ്പെടുത്തി	Strengthened
ബാ​ങ്കി​നെ​തി​രാ​യ	against the bank
ആന്റിയോട്	To aunty.
സിറ്റിക്കും	and the city.
പിരിഞ്ഞു	Parted
റോയല്‍സ്	The Royals
ബഹുമാനസൂചകമായി	As a mark of respect
മോഹത്തിനെതിരായ	Against desire
തകര്‍ത്തപ്പോള്‍	When it was destroyed,
കാറ്റ്റില്‍	Caterill
കോഹ്ലിക്കെതിരെ	Against Kohli
ക്രൂവിന്	For the crew
മുന്നിലേയ്ക്ക്	Forward
ഡയലോഗ്	Dialog
ചെറുഫോണ്‍	Small phone
വര്‍ഷത്തിനു	for the year
കടപ്പത്രം	Debentures
ലീഡെടുത്തിട്ടും	Despite taking the lead
വിഭവ	Resource
പങ്കുവയ്ക്കുന്നു	Sharing
ചാനല്‍	Channel
ബെര്‍ണാഡോ	Bernardo
എ​ച്ച്‌ആ​ര്‍	H.R.
ഉടക്കിട്ട്	Broken up
ട്രോളി	Trolley
നാണമില്ലാത്ത	Shameless
ക്ലബ്ബിലേക്ക്	To the club.
വികസന	Development
നി​​​​യ​​​​ന്ത്ര​​​​ണ​​​​ങ്ങ​​​​ളി​​​​ല്‍​​​​നി​​​​ന്നും	from the restrictions
യുവരാജ്	Yuvraj
കൊണ്ടൊന്നും	Not with anything.
ബാറ്റിങിന്	For batting
സമയം	time
റാങ്ക്	Rank
ഗ്രൂപ്പ്	Group
ഡിജിസിഎ	DGCA
ഉണ്ടായിരിക്കേണ്ട	Don't have to be
യുവന്റസിന്റെയും	and Juventus
പ്രതിസന്ധിക്കിടയിലും	In the midst of the crisis
യമഹ	Yamaha
വ്യാപിപ്പിക്കുന്നു	Expanding
മഴയുമായി	with the rain.
തരംതാഴ്ത്തി	Downgraded
ഇതെല്ലാം	All of this
സച്ചിനിലെ	In Sachin
തീരുമാനിക്കാം	Let's decide.
ലോട്ടറിയടിച്ചു	Won the lottery
എ​​​ന്തി​​​നാ​​​ണു	Why is it?
ഖവാജയ്ക്ക്	For Khawaja
ആഗസ്റ്റ്	August
എന്‍ഫീല്‍ഡിന്റെ	Enfield's
വ​നി​താ​	Women
കൊടുക്കുന്നു	Giving
ആം	Aam
ലഭിക്കാന്‍	to get
രൂപയ്ക്ക്	In rupees
റെഡ്മി	Redmi
രംഗത്തില്‍	In the scene
മാനംകെടുത്തി	Humiliated
കെജ്രിവാള്‍	Kejriwal
യൂണിയനുകള്‍	Unions
റ​​​ബ​​​ര്‍	Rubber
സിന്ധുബാദ്	Sindhubad
ആരാവും	Who will be?
ലാറയ്ക്കുമുണ്ട്	Lara has it too.
നൗ	Now
നാരായണന്റെ	Narayanan's
സഹായിക്കുകയാണ്	They're helping.
താഴോട്ട്	Down
എത്ര	How much
സി​​​യാ​​​ല്‍	Cial
ലോക്ക്	Lock
കാലുകള്‍	The legs
ട്രയത്തലണ്‍	Triathlon
മൈക്കിള്‍	Michael
ലോ​ക​ചാ​മ്ബ്യ​ന്‍	World Champion
വൈദ്യുതവാഹനങ്ങള്‍ക്ക്	For electric vehicles
തൂത്തുവരി	Sweeper
എഴുതിത്തള്ളും	Will be written off
സ്പിന്‍	Spin
പാര്‍ട്ണര്‍	Partner
നിക്ഷേപങ്ങളെ	Investments
ഡീസല്‍	Diesel
വെല്ലാന്‍	Vellan
ലീഗ്‌	League
സൂറത്ത്	Surat
ലാറയുമല്ല	It's not Lara.
മാത്രമായിരുന്നു	It was just
നവോമി	Naomi
വെല്ലിങ്‌ടണിലും	And in Wellington.
ശൃംഖലകള്‍	Networks
സാവകാശം	Slowly
പെണ്‍കുട്ടിയല്ല	It's not a girl.
ജൈവികവും	and biological
ക​​​മ്ബ​​​നി	Company
വീരമ്യത്യൂ	Veeramyatyu
യമണ്ടന്‍	Yamandan
ക്രിസ്റ്റ്യാനോയുടേത്	Cristiano's
അഫ്ഗാന്‍	Afghanistan
അച്ചു	Achu
കെട്ടി	Tied up
ഷാജിയിലെ	Shaji's
ലിവര്‍പൂളില്‍	In Liverpool.
പരിശീലക	Trainer
ഫോട്ടാ	Phota
ആരും	No one
ഓസ്‌ട്രേലിയക്ക്	to Australia
ആശ്വസിപ്പിച്ച്‌	Consoling
ആദ്യമെത്തുക	Arrive First
ചെയ്യാനും	to do
രോഹിത്ത്	Rohith
ബ്രാന്‍ഡ്	Brand
ക്രിക്കറ്റ്	Cricket
പന്തില്‍	On the ball
ബാധിച്ചു	Affected
ട്രേഡിംഗില്‍	In trading
നാ​ളെ	tomorrow
പ്രി​യ​ങ്ക​യ്ക്ക്	For Priyanka
അമിത്	Amit
തകര്‍പ്പന്‍	Awesome
മന്ത്രിസഭയുടെ	of the Cabinet
ഡയക്ടറായി	As Director
അറ്റാക്ക്	Attack
അഭിനന്ദന്‍	Abhinandan
ഓ​ഹ​രി​ക​ള്‍	Shares
ഉയര്‍ത്തി	Raised
വെബ്സൈറ്റ്	Website
വിജയിച്ചു	Won
വര്‍ഷവും	and the year
മാറ്റങ്ങളുണ്ടാകുമെങ്കിലും	Although there will be changes
കിലോമീറ്റര്‍	kilometers
കുറയില്ല	Won't decrease
ഋഷഭ‌്	Rishabh
ഇന്‍ക്യൂബേഷന്‍	Incubation
എതിരാളി	Opponent
അദ്ദേഹത്തിന്റെ	his
ഇടിയുന്നു	It's falling
നോകിയ	Nokia
ട്വീറ്റ്	Tweet
തിരിച്ചെത്തുന്നു	Coming back
വില്യംസണെ	Williamson
കുറ്റം	Crime
സെ​ക്ര​ട്ട​റി	Secretary
ആന്‍ഡ്	and
രാഷ്ട്രീയ	Political
ഒരേ	The same
കു​ടി​ശി​ക	Arrears
ബാറ്റ്സ്മാനാവുക	Be a batsman
മുന്നറിയിപ്പ്	Warning
ഫിഫയും	FIFA and
സ്വിഗ്ഗിയും	Swiggy and
വര്‍ധിപ്പിച്ചത്	Increased
താരദമ്ബദികളുടെ	Of the star couples
ലെവലാണ്	It's the level
സ്‌കോര്‍	Score
മാസത്തിന്	for the month
തകര്‍ത്തെറിഞ്ഞ്	Destroyed and destroyed
ക്രിസ്മസിന്‌	For Christmas.
അരികുകള്‍	Edges
കൂ​​ട്ട​​യ​​ടി	Collective Hit
രക്ഷപെട്ടത്	Escaped
പണമെടുക്കാം	I can take the money.
വര്‍ഷത്തേക്ക്	For the year
പ​ലി​ശ	interest
കിടപ്പറ	Bedroom
ദമ്ബതികളേ	Couples
കൊ​പ്ര​	Copra
ജിഎസ്ടി	GST
ദിനത്തിലും	and in the day.
നോട്ടൗട്ടോ	Not outto
മെഹ്ത്ത	Mehta
സെമിയുടെ	Semi's
19ാമത്	19th
റ​​ഷ്യ​​ന്‍	Russian
ക്ലിയര്‍	Clear
ഒഴുക്ക്	Flow
ആഴ്സനല്‍	Arsenal
എത്താന്‍	To reach
നിര്‍മാണത്തിലിരിക്കുന്ന	Under construction
ബാങ്കിന്റെ	of the bank
അന്ധവിശ്വാസങ്ങള്‍	Superstitions
പെരുമാറ്റത്തില്‍	In behavior
ഇടിച്ചു	hit
മാഞ്ചസ്റ്റര്‍	Manchester
ഗ്രൗണ്ടിലെത്തി	Reached the ground
ഇന്ത്യയിലേക്കുള്ള	To India
കാമുകന്‍	The boyfriend
ദിലീഷ്	Dileesh
സന്തോഷവാര്‍ത്തയെത്തി	The good news has arrived.
സ്‌റ്റോപ്പ്	Stop
പോവാമെന്ന്	To go.
ഇവല്‍ഡാസിനെ	Ival Das
പോവുന്നത്	Going away
നമ്ബറുകള്‍	Numbers
ജിറൂദ്	Giroud
മാഞ്ചസ്റ്ററിന്റെ	of Manchester
മൂന്നാമനാക്കി	The third
ബന്ധമാണെന്ന്	that it's related
ഗൃഹോപകരണങ്ങള്‍	Home Appliances
ലക	Laka
സ്വകാര്യത	Privacy
ആരാധ്യബച്ചന്‍	Aaradhya Bachchan
ബാറ്ററി	Battery
നഷ്ടവും	and loss
രാജധാനി	Rajdhani
വോണ്‍	Vaughan
ഉപസമിതിക്കു	Sub-Committee
ഡെംബലെ	Dembele
വടക്കന്റെ	Of the North
കക്കാന്‍	Kakkan
ഗുഹയില്‍നിന്ന്	from the cave.
സിദാന്‍	Zidane
ബലാക്കോട്ട്	Balakot
ഓഡിറ്റ്	Audit
ജഹാന്‍	Jahan
പോകുന്നതിന്	To go
ആരെന്ന്	Who is that?
ചാടി	Jumped
പണിക്കരുടെ	Of the workers
ഹര്‍ജ്ജി	Petition
ഉദ്യോഗസ്ഥര്‍	Officials
അവരുടെ	their
ചിത്രങ്ങളുടെ	Pictures
ചില്‍ഡ്രന്‍	Children
മായാജാലം	Magic
ഒത്തുകളിയോ	Match-fixing
ഹബ്ബാവാന്‍	Habbawan
കോഹ്ലിയുടെ	Kohli's
ഗോള്‍വേട്ടയുമായി	With the goal hunt
മൗനം	Silence
വീഴ്ത്തിയ	Dropped
സ്കോഡ	Skoda
സിത്താര	Sithara
സഞ്ചരിക്കുന്ന	Traveling
കോണ്‍ഗ്രസിനൊപ്പം	With the Congress
ധരിക്കണോ	Do you want to wear it?
പ്രിയവാരിയര്‍	Priya Varrier
അസുഖങ്ങളെ	Diseases
സ്‌കില്‍	Skill
റ​ബ​ര്‍	Rubber
ക്രുനാലിന്റെ	Krunal's
വിപുലീകരണം	Extension
വൈദ്യുത	Electricity
പരിഹരിക്കുമെന്ന്	Will be resolved
മരക്കാര്‍	The Woodpeckers
അക്കൗണ്ടും	and account
ബിഎംഡബ്ല്യൂയുമായി	with BMW
സിഗരറ്റ്	Cigarettes
വയ്ക്കാന്‍	To keep
നേരിടാന്‍	To deal with
ജാദവും	And Jadhav
സ്കോട്ലന്‍ഡും	and Scotland
ട്രോഫി	Trophy
ജാമ്യമില്ലാ	No bail
വനിതാദിനത്തില്‍	On Women's Day
ഒഴിപ്പിക്കുന്നു	Evacuating
രീതിയില്‍	in a way
ആളില്ല	There's no one.
സമീപിച്ചു	Approached
ഫ്രഞ്ച്	French
ഖത്തറിനോട്	to Qatar
ബാറ്റിംഗില്‍	In batting
ഈസിയായി	It's easy
സ്ഥലമില്ലാതെ	Without space.
നൈജീരിയയാണെന്ന്	That's Nigeria.
ശില്പശാല	Workshop
ശത	Centa
തുറന്നടിച്ച്‌	Open up
ഓപണര്‍മാര്‍	Openers
ഖേദപ്രകടനത്തില്‍	In an expression of regret
പ​ര​സ്യ​ങ്ങ​ള്‍	Ads
കുട്ടികള്‍ക്കായി	For the children.
ചെയ്യുന്നു	It does
കൂടുന്നത്	Increasing
വെള്ളത്തിന്	for the water.
സീറ്റില്‍	In the seat
ബംഗലൂരുവും	Bengaluru and
രാ​ഷ്ട്രീ​യ​മി​ല്ലെ​ന്ന	There is no politics.
സേ​വാ​ഗ്	Sehwag
അപ്പീലിന്	For appeal
വര്‍ധന	Increase
വിശദ	Detailed
മൂര്‍ച്ചിപ്പിക്കുമോ	Will it sharpen?
ആകാന്‍	To be
കൊണ്ടുവരിക	Bring it.
ചോദിച്ച	Asked
വനിതകള്‍ക്ക്	For women.
മ​ഹേ​ന്ദ്ര	Mahendra
ചെമ്ബടയ്ക്ക്	To Chembada
ജീവചരിത്രം	Biography
ഇന്ദിര	Indira
വിപണികള്‍	Markets
ചിരിച്ചതിന്	For laughing
ഭാഗമല്ല	Not part of
സംസാരിച്ചു	Talking
ത​ണു​പ്പി​ക്കാ​ന്‍	To cool down
പേരിനൊപ്പം	With the name
അനുവദിക്കുന്നതിനു	To allow
മാണിക്യന്റെ	Manikyan's
നിറഞ്ഞാടി	Full of
വേഷമിടുന്നു	Dressing up
രേഖയാക്കാന്‍	To make a record
മന്ഥാനയ്ക്ക്	For Manthana
ഒരുലക്ഷം	One lakh.
മൊബൈല്‍	Mobile
ഉത്തരം	The answer
സ്വീകരിക്കേണ്ടെന്ന	Don't accept
ഇംഗ്ലണ്ടിന്‌	For England
അജുവും	And Aju
നഷ്ടപ്പെട്ടേക്കാം	May be lost
തെളിവായി	As evidence
ലളിതയ്ക്കെതിരെ	Against Lalitha
ടെന്‍ഡുല്‍ക്കറിനും	and Tendulkar
ആധാറുമായി	with Aadhaar
കേ​​​​സ്	The case
യുവനിര	The young team
കണ്ട്	Seen
കളത്തിലിറങ്ങിയത്	On the field
ധോണി	Dhoni
നാളുകളില്‍	in the days
വിജയത്തില്‍	In victory
നടത്തും	Will do
നിര്‍മിക്കും	Will build
പഠനത്തിന്റെ	of the study
ആമസോണുമായി	with Amazon
മുതല്‍കൂട്ടാകുന്നു	Adding to
കേട്ടാലും	Even if you hear
പ്രണയത്തിന്	for love.
മരച്ചീനി	Tapioca
കൂപ്പുകുത്തി	Collapsed
സ്‌കോറിന്	Scorein
ന​മ്ബി	Nambi
രാജകുമാരന്‍	The Prince
വിലക്കുറവില്‍	At a low price
ഉപയോഗം	Usage
സലിംകുമാര്‍	Salim Kumar
യാഷ്	Yash
വീട്ടുകാര്‍	Family Members
പൊ​​​തു​​​	Public
എന്റോള്‍മെന്റ്	Enrolment
ഇന്റര്‍നാഷണല്‍	International
പൊട്ടിത്തെറി	The explosion
ഡെര്‍ബി	Derby
ആദ്മിയെ	Aadmiye
ന്യുസിലന്‍ഡ്‌	New Zealand
രൂപം	Form
ബാങ്കിന്	For the bank
കൂട്ടുക്കെട്ട്	Partnership
വികസനം	Development
ചേച്ചി	Sister
ആഗ്രഹമുണ്ടാകില്ലേ	Won't there be a desire?
സുവാരസിന്റെയും	And Suarez and Suarez
സോണില്‍	In the zone
ലോകകപ്പിനായി	For the World Cup.
വെട്ടിപ്പുകള്‍	Cuts
വേണ്ട	No need
ഏകീകരണം	Consolidation
ഇ​ടി​ഞ്ഞു	collapsed
ഉഷ	Usha
തിരഞ്ഞെടുപ്പ്	election
വിപണിയെ	the market
താരപുത്രിയുടെ	Of the star's daughter
വില്‍പ്പനയില്‍	On sale
ആയുര്‍വേദ	Ayurveda
ഹിന്ദി	Hindi
കുഞ്ഞബദുള്ളയുടെ	Kunjabadulla's
കണ്ടെത്താന്‍	To find out
ലാലിന്റെ	Lal's
ആളുകളെ	People
ദേവസ്വം	Devaswom
റബര്‍	Rubber
യൂട്യൂബ്	YouTube
തീയറ്ററുകളിലെത്തുന്നു	Reaching the theaters
സുന്ദരി	beauty
ഓഡീഷന്‍	Audition
ഇക്കണോമിക്	Economic
ഐസിസി	ICC
അടിവലികള്‍ക്ക്	For the undergarments
പ്രധാന	Main
വെളിപ്പെടുത്തല്‍	Disclosure
ഗോളില്‍	In goal
വരവറിയിച്ചു	Announced arrival
സ്വാമി	Swami
നിക്ഷേപവുമായി	with the investment
തപ്പ്	Thappu
തിളങ്ങാന്‍	To shine
ഏതെന്ന്	Which of the
അംലയും	And Amla
എ​​​​സ്‌ഇ​​​​സി	SEC
ധവാന്‍റെ	Dhawan's
സൗബിന്‍	Soubin
മുന്‍നിരയും	Front row and
വേറെ	Other
ടോക്കിനെതിരെ	Against Talk
താരസുന്ദരിമാര്‍	Celebrities
ആരാകും	Who will be?
മന്ത്രിയാവേണ്ട	Don't be a minister
ഷോക്കില്‍	In shock
ഡോളറിന്	for the dollar
നല്‍കും	Will provide
എ​യ​ര്‍​ടെ​ല്‍	Airtel
കുടക്കീഴില്‍	Under the umbrella
സ്റ്റോറായ	The store
റണ്‍സ്	Runs
ലോപ്പസിനോട്	To Lopez
ഇന്‍ഷുറന്സ്	Insurance
പിക്ചര്‍	Picture
അലയന്‍സ്	Alliance
അറോറയും	Arora and
നേരിട്ട	Faced with
നിഫ്റ്റി	Nifty
കലാശപ്പോരാട്ടത്തിന്	For the final battle
താ​​രം	star
ചിത്രത്തിന്	For the film
പിന്‍വാങ്ങി	Withdrew
വീരനായി	As a hero
ഹാമില്‍ട്ടണിന്റെ	Hamilton's
ഇതൊന്നും	None of this.
മത്സരത്തിനിടെ	During the match
എ​റ​ണാ​കു​ള​ത്തും	In Ernakulam
സൗഹൃദ	Friendship
വേഗതയേറിയ	Fast
വിമാനത്താവളം	airport
നൂ​യി	Nooyi
അ​ക്വാ​ഗാ​ര്‍​ഡ്	Aquaguard
നിര്‍ത്തിക്കൂടെ	Don't stop
പുറത്ത‌്	Out there.
ചെല്ലി	Chellie
ഖാ​​​ദി	Khadi
മീഡിയകള്‍ക്കും	and the media.
രാജ്യാന്തര	International
പോയിന്‍റ്	Point
നാണയത്തിനു	For the coin
പണപ്പെരുപ്പത്തില്‍	On inflation
വേണ്ടിയിരുന്നത്	What was required
വിട്ടുവീഴ്ചയില്ലെന്ന്	There is no compromise.
മിന്നി	Minny
തന്നിരുന്നത്	It was given
എയര്‍വേയ്‌സ്	Airways
സുന്ദരിയായി	Beautifully
ചിത്രമാവുമോ	Will it be a picture?
ഫാ​ബ്രി​ക്കേ​റ്റ​ഡ്	Fabricated
പ്രമോയ്ക്കും	To the promo
ടെക്നോളജി	Technology
വടക്കന്‍	North
സേതുപതി	Sethupathi
ലോക്സഭാ	Lok Sabha
ഉറച്ച	Firm
അല്ല	No
വിദ്യുത്	Vidyut
തുടരുന്നു	Continues
പരിശീലകനെ	The trainer
വിളികാത്ത്	Waiting for the call
പൃഥ്വിയും	Prithviraj and
പ്രതികാരത്തിന്	For revenge
സഞ്ജു	Sanju
കലാശപോരാട്ടത്തിനായുള്ള	for the final fight
വൈറലാകുന്നു	Going viral
ശര്‍മ	Sharma
ഷായുമായുളള	with Shah
യുവന്റസിന്	For Juventus
മെഴുകു	Wax
സ്മൃതിയ്ക്ക്	To Smriti
ഒഫീഷല്‍	Official
വസ്തുക്കള്‍	Objects
കാ​​​ന്ത	Kanta
റ​​ബാ​​ഡ	Rabada
സ്വന്തമാക്കാം	You can own it.
ധരിച്ച്‌	Wearing
പരിക്ക്	Injury
ദല്‍ഹിക്കൊപ്പം	with Delhi
പതിയെ	Slowly
കഴിയും	It can
സൊസൈറ്റി	Society
താരങ്ങളോടാണ്	It's to the stars
സഹായമഭ്യര്‍ത്ഥിച്ച്‌	Seeking help
സ്വന്തമാക്കിയ	Owned by
ഉയര്‍ന്നിട്ടും	Even though it's high
കന്പനികള്‍ക്ക്	For companies
സൗ​ക​ര്യം	Facility
പ്രവര്‍ത്തകര്‍	Activists
ജീവകാരുണ്യത്തിന്	For philanthropy
പ്രതിമയെക്കുറിച്ച്‌	About the statue
ദഹിക്കില്ല	Will not be digested
റെസ്റ്റോറന്റുകള്‍	Restaurants
കൊണ്ടിരുന്നു	It was going on
നിയമനടപടികളുമായി	with legal proceedings
ഇംഗ്ലണ്ടിനു	For England.
സൈക്ലിംഗ്	Cycling
പൂഴ്ത്തിവയ്പ്പ്	Hoarding
സഖ്യവും	And alliance
ഷെയറിംഗ്	Sharing
റെക്കോര്‍ഡിനൊപ്പം	with the record
പാണ്ഡിരാജും	Pandiraj and
ചാടിക്കയറി	Jumped in
മ​​​​ജാ​​​​ന്‍	Majan
ഫെഡറികോ	Federico
പോയാലോ	If you go,
ലിയോണിനെതിരെ	Against Leon
സംരംഭകരാകാം	Can be entrepreneurs
അച്ഛനെയും	and my father.
പ്ര​​​ത്യേ​​​ക	Special
പ്രണവിനും	and Pranav
മുമ്ബില്‍	In the front
ടെ​​​​സ്‌​​ല	Tesla
ടാക്റ്റിക്കല്‍	Tactical
ശക്തമായ	Strong
ധരിക്കുന്നതെന്ന്	That's wearing
അലിയുമൊക്കെ	Ali and
ആസ്പദമാക്കി	Based on
ഹെഡ്ഡറില്‍	In the header
പൂമാലയിട്ട്	With a garland of flowers
അവതാരകന്‍	Presenter
ടീമിനെതിരെ	Against the team.
ഫൈനല്‍സിന്‍െറ	of the finals
സ്വന്തമാക്കാന്‍	To own
ഓവിയയ്ക്ക്	For Oviya
ഷമിക്കെതിരെ	Against Shami
ഓട്ടോ	Auto
ഉണ്ടാക്കി	Made
മോദിയായി	As Modi
ഭായിയെ	Bhai
കാണുമ്ബോള്‍	When you see
ദമ്ബതികളുടെ	of the couple
ദീക്ഷിതും	Dixit and
കൈവരിക്കാം	Can be achieved
വി​​ല​​ക്ക്	Prohibition
ജ​യിച്ചു	He won.
സെക്സിയായിരുന്നോ	Was it sexy?
ഫ്രെബ്രുവരി	February
സ്റ്റാര്‍	Star
ഫോര്‍ഡിന്റെ	Ford's
മൂ​ന്നു	three
സ്നേഹക്കൂടൊരുക്കി	A love nest has been arranged
ഫോട്ടോഗ്രാഫര്‍മാര്‍	Photographers
അണ്ടര്‍	Under
കീപ്പറാകും	Will be the keeper
നിസ്‌കാരം	Namaz
സുരക്ഷിതമായി	Safely
സ്റ്റാര്‍ട്‌അപ്	Start-up
ചെയ്യുന്ന	doing
തിരിച്ചടിയാകുക	Retaliate
വീട്ടിലിരുന്ന്	At home.
വരിക്കുന്ന	Drawing
തോതില്‍	Quantity
പാണ്ഡ്യയെയും	and Pandya.
പൊറിഞ്ചുവിനൊപ്പം	With Porinju
വന്‍	Big
നിഗം	Nigam
സ്ത്രീത്വത്തെ	Womanhood
ദേവിന്‍റെ	Dev's
മിസ്സായാല്‍	Missayal
റൗഡി	Rowdy
ഇന്ദ്രജിത്തും	Indrajith
ഇന്ത്യക്ക്‌	For India
നിര്‍മാണം	Construction
ട്രെയ്‌ലറെത്തി	The trailer has arrived.
കുപ്രചരണങ്ങളില്‍	In propaganda
സൗജന്യ	Free
കേമന്‍	Keman
എന്നീ	and
വനിതകള്‍	Women
വിമാനങ്ങള്‍	Planes
എസ	Esa
കോച്ചായി	As coach
കറുത്ത	black
ലേലത്തില്‍	At the auction
കുറിക്കുന്നു	Noting
സൈനികര്‍ക്ക്	For the soldiers.
റൈഡേഴ്‌സില്‍	In the Riders
കിട്ടില്ലെന്ന്	Won't get it
അച്ഛന്‍	My father.
ആഷ്ടണ്‍	Ashton
വിനോദും	And entertainment
ഹിന്ദുക്കെളെ	The Hindus
ആമത്	Amaat
പ്രണയജോഡികളായ	The love birds
ഫൈനല്‍സ്	Finals
അഭിനയിക്കേണ്ടിയിരുന്നത്	I had to act
ഓ​​സ്ട്രേ​​ലി​​യ	Australia
എന്നോട്	to me
ധനകാര്യ	Financial
യാത്രയ്ക്ക്	For the journey
എളുപ്പമാകില്ല	It won't be easy.
രാജ്യത്തെ	the country
അരുണാചലിലും	in Arunachal
സൂപ്പര്‍മാര്‍ക്കറ്റ്	Supermarket
ക്വാ​ര്‍ട്ട​റി​ല്‍	in the quarter
നിര്‍ത്തുമെന്നൊന്നും	It won't stop.
ആക്രമണം	attack
പ്രശാന്തിനെ	Prasanth
പല്ലിശേരിയുടെ	Pallissery's
സ്ത്രീകളുടെ	Of the women
സര്‍വ്വേ	Survey
വെട്ടിയൊതുക്കി	Cut down
അണിഞ്ഞതിനെതിരെ	Against wearing
സൂചികയെ	Index
തോല്‍വിയും	and defeat
കൊല്‍ക്കത്ത	Kolkata
നാം	we
നിര്‍മാതാക്കള്‍	Producers
നിങ്ങള്‍ക്കുള്ള	For you.
റോസ്	Rose.
കളിക്കേണ്ടവരെ	Those who want to play
ഹെല്‍പ്	Help
ലാന്‍ഡ്	Land
ലൂസിഫറിനും	and Lucifer
അന്തോണിമാരില്‍	Of the Anthonys
ബാ​ങ്ക്	Bank
അഭിനയിക്കും	Will act
വ്യവസായത്തിന്	For the industry
സമ്ബന്നന്‍	Sambanan
വാ​ര്‍​ഷി​കം	Anniversary
നാണയവുമായി	with the coin
പ്ലാന്റ്	Plant
മീടു	Metoo
പന്തു	The ball
ഹബ്ബ്	Hub
