ચોર્યો	The thief
ભાઈ	Brother
તમારે	You have
અમદાવાદઃ	Ahmedabad:
ઈન્ડેક્સમાં	In the index
સેવાઓ	Services
મોમ	Mom
1પર	At 1
દેવગનને	To Devgan
સીટર	Sitter
પગે	On foot
એપ્રિલથી	From April
આઝાદી	Freedom
કર્યાં	done
અઠવાડિયા	Weeks
ફાર્મિંગ	Farming
વિદ્યાર્થીની	student
હનિમૂન	Honeymoon
શકવાની	to be able to
પહેલું	first
ઉપાડવાની	To pick up
1ના	of 1
ઉપાડવા	To pick up
ઇટલીમાં	in Italy
કઈંક	Something
મંદાકીની	Mandakini
સંજના	Sanjana
આયોગ	Commission
શાહને	Shah
મર્યાદા	Limit
મરજી	will
ગ્લેમર	Glamour
લગ્ઝુરિયસ	Lagzurias
પૈસા	The money
ખાને	Khane
કોહલીની	Kohli's
જાપાનને	To Japan
ચક્કરમાં	in a circle
ગદ્દાર	Gaddar
પ્રિયંકાનું	Priyanka's
મળીને	Together
પૂર	flood
સમાન	Similar
કોર્ટમાં	in court
શેનાથી	From what
સૂરમા	Surma
ઝઘડો	quarrel
રબારીને	Rabari
નાચશે	will dance
વિનર	Winner
આવો	Come on
ફિલ્મોની	Films
તેનાં	His
પાર્વતી	Parvati
લાખોમાં	in lakhs
તાન્યાએ	Tanya
લોકોની	people
વેડિંગ	Wedding
તદ્દન	Quite
3નાં	of 3
યુઝર	User
રિપેરિંગ	Repairing
ભૂલો	Errors
વિતાવવી	to spend
બેબોની	Beboni
ડિસ્કાઉન્ટ	Discounts
ઓફિશિયલ	Official
ચેતાવણી	Warning
સોનમની	Sonam's
અનામત	Reserved
શહેરવાસીઓને	To the city dwellers
હોટલ	Hotel
પ્રસંગે	On the occasion
સ્ટ્રાઇક	Strike
ઇધણ	Idhaan
કિરદારમાં	In Kirdar
ડો	Dr.
ઓરિયેન્ટલ	Oriental
વેચાશે	will be sold
એશ્વર્યાનો	Aishwarya's
સિલિન્ડરઃ	Cylinder:
પ્રેમમાં	In love
ડોઝ	Dosage
આપવામાં	Given
મિસ્ત્રીના	Mistry's
ઓબઝર્વેશનમાં	In observation
પરિવાર	family
આધારકાર્ડમાં	In Aadhar card
10700ની	10700
કંપનીઓ	Companies
પૂછી	Asked
કુતરો	Dogs
ડર	Fear
કાળુ	Black
ઘરેણા	Jewelry
રાજીથી	Pleased
દેશભરમાં	across the country
ભાવમાંથી	From price
આપનું	Yours
લોગોમાં	In Logo
ફરતો	Moving around
ટ્રીબ્યુટ	Tribute
આહા	Aha
સ્ક્રિનિંગ	Screening
રોમાન્સ	Romance
કોમરેડ	Comrade
મજ્જો	Marrow
સલામત	Safe
ચાવી	The key
ગાંધી	Gandhi
ગાઉન	Gown
દુલ્હનની	of the bride
ડાયલ	Dial
વધ્યુ	increased
રેશમાની	Reshma's
બ્રોડબેન્ડ	Broadband
રણવીરને	To Ranveer
ઢિંચાક	Dhinchak
મોદીએ	Modi
રિએક્શન	Reaction
શમા	Shama
ખાય	Eats
લાવ્યા	Brought
નોંધાયા	Registered
ફેસબૂક	Facebook
અબજોની	of billions
કી	Key
અનુષ્કા	Anushka
ડેટ	Date
નોરા	Nora
રોચક	Interesting
ટ્રાવેલર	Traveler
અક્કીનો	Of Akki
લિપ્સ્ટિકમાં	In lipstick
ફિલ્મો	Movies
મજબૂર	forced
આશ્કાએ	Aashka
ગૂપચૂપ	Secretly
બેઠકમાં	In the meeting
બેંકોમાં	in banks
ધોની	Dhoni
એક્ટિવ	Active
કૈસે	Kaise
આલા	Aala
લવ	Love
ભાવમાં	In Price
એમેઝોને	To Amazon
રાજપૂતને	To Rajput
કૂકે	Cooke
માલિકોની	of the owners
તારીખોમાં	In Dates
ફોટોનું	Photo of
જનરલ	General
કલાકોમાં	within hours
જમાવી	deployed
છઠ્ઠી	Sixth
પગમાં	In the legs
પાસેથી	from
હોવાથી	Being
એક્શનમાં	in action
સોન્ગ	Song
સેનાનો	of the army
અરે	Hey
દિવસોમાં	in days
બિઝનેશમેન	Businessman
કિમી	Kimi
યરનો	year's
પહોચ્યો	Arrived
છપાશે	will be printed
સરકારની	Government
મિત્રને	to a friend
ડેટાની	of data
અપીલ	Appeal
લેવડદેવડ	Transactions
ક્રેશ	Crash
બેલેન્સ	Balance
મોટુ	Big
મળવા	To meet
ગરીબોનું	of the poor
બિકીનીમાં	In a bikini
પેકેજ	Package
ડૂબે	drowning
શાન	Shan
રહેવાની	To stay
10620ની	Of 10620
પ્રતિબંધ	Ban
ડાંગર	Paddy
અંદાજને	Estimate
છેડછાડ	Tampering
ડિલિટ	Delete
પિન્કી	Pinky
રિસોર્ટનું	of the resort
લલચામણી	Lalchamani
જેમાં	in which
રોગી	Patient
સરનામું	Address
બન્યા	became
ગયેલી	Gone
ગયું	Gone
થવા	to be
ખોવાઈ	Lost
જીયોએ	Jio
બિહારી	Bihari
ટ્વિટને	To the tweet
કે	or
લાલ	red
મલ્હોત્રાનાં	Malhotra's
અમદાવાદની	Ahmedabad
હિઝાબ	Hijab
ઘરેલું	Domestic
અભરાઇએ	Abharaiye
દિવસો	days
ખાસીયતો	Specialties
છેઃજોઓ	:
વોટ્સએપને	To WhatsApp
તણાવ	Stress
ઘટવાની	decreasing
એક્તા	Ekta
લડવાની	To fight
સરવે	Survey
દર્દી	Patient
છુપાવતી	Hiding
ડૂબી	drowned
પટનીએ	Patni
મિનીટે	Minutee
વોટ્સએપે	WhatsApp
દિવાના	Diwana
બોલવા	To speak
ખાઈ	eating
વ્યક્તિને	to the person
બ્લોકચેન	Blockchain
પોસ્ટરથી	from the poster
રાજકોટઃએક્સાઇઝ	Rajkot: Excise
બેન્ક	Bank
પ્રભાવ	Effect
દુનિયા	universe
મૂડીપ્રવાહ	Capital inflow
પહેલાની	Previous
મોડલ	Model
લંડનમાં	In London
એની	Annie
રમેશ	Ramesh
કિમતનો	prices
રેકી	Reiki
આનંદનાં	of joy
છુપાવી	Hidden
મોહભંગ	Infatuation
તૈયાારીઓ	Tayyario
હીરોઈને	To the heroine
હનીમૂન	Honeymoon
હોન્ડાએ	Honda
ટ્રિક	Trick
ચિંમકી	Chimki
પોઈન્ટ	Point
ફેક	Fake
ડિસ્કવરી	Discovery
સમિટઃશિક્ષણ	Summit: Education
દેશની	of the country
ધરાવતી	possessing
લાઇક્સ	Likes
નાંખતો	Throwing
પીડાતી	afflicting
આવા	Such
ભારતનું	Of India
આધારકાર્ડની	Of The Aadhaar Card
શાખા	branch
સ્તનને	to the breast
અચાનક	Suddenly
દવાઓ	Medicines
કહાણી	Story
પલ્લુ	Pallu
કિંગફિશર	Kingfisher
સરકારથી	from the government
પ્રીપેડ	Prepaid
લાગ્યા	It took
બજેટની	Budget
કોણ	who
સોલાર	Solar
માહિરાએ	Mahira
રજત	Rajat
સ્પેસિફિકેશન	Specification
2490માં	In 2490
નહેરૂ	Nehru
રાષ્ટ્રવ્યાપી	Nationwide
ગવર્નરને	to the Governor
સિસ્ટમથી	from the system
વર્ગ	Class
ફાઇ	Fi
ઘીના	Ghina
થથરે	Thathere
સુપ્રિમ	Supreme
પરીક્ષણ	Testing
જોબનું	of the job
લોન્સ	Loans
યુઝર્સ	Users
થવાનું	to be
વાઇ	Wai
1994માં	In 1994
બન્યું	happened
રડતી	Crying
એપીએમસીના	OF APMC
ગીતકાર	Lyricist
પતંજલીમાં	In Patanjali
બતાવશો	Show
રોપ	Rope
કાલે	Tomorrow
માથાનો	head
વિરાટતાના	of greatness
3ના	of 3
ડ્રીન્ક	Drink
રોવાનું	Crying
ઓનલાઈન	Online
ઉપયોગ	Use
સ્પીડ	Speed
જશેઃ	Will go:
વિષય	matter
નજરે	Look at
સલમાનનાં	Salman's
તૂફાન	Toofan
બનાવવી	Creating
નજીવી	Minor
ફ્રી	Free
ફોર્મ	Form
શ્રદ્ધાએ	Faith
સર્ક્યુલેશનમાં	in circulation
ઇકોનોમી	Economy
ટેક્સમાં	in taxes
નંબરે	Number
ડ્રાઇવરે	The driver
એરવેઝ	Airways
તાલ	Taal
પ્રોજેકટ	Project
ગિઝેલે	Giselle
હજારોનો	of thousands
જલાતા	Jalata
અત્યાધુનિક	State-of-the
બેન્કના	Of the Bank
ખેતી	Agriculture
એચિવમેન્ટ	Achievement
અમલ	Implementation
અધુના	Adhuna
ગોવાનાં	Of Goa
સુરતઃરાંદેર	Surat: Rander
અહેવાલથી	From the report
કવર	Cover
ડ્રેસની	of the dress
ફરી	Again
આંકડાનો	of statistics
સ્વીટ	Sweet
સ્ટારકાસ્ટનો	of the starcast
મુંબઇ	Mumbai
ટાટાના	Tata's
ચાહકો	Fans
વિવાદોનાં	of disputes
પોપ્યુલારિટીમાં	In popularity
2000નું	Of 2000
29હજારની	29,000
તેવા	Such as
જગજાહેર	World Public
ઓટો	Auto
કેરેક્ટર	Character
ઓફર્સ	Offers
હસીના	Hasina
માર્વલ્સની	Marvels
ચીન	China
ફોર્બ્સ	Forbes
રોકાઇ	Rokai
પીરિયડ	Period
પરમારની	Parmar's
અજાણી	Unknown
પિરામલ	Piramal
શરમ	Shame
ટાયકૂન	Tycoon
ગણાવી	Counted
વીડિયોએ	Video
અહીં	Here
ટાઇગર	Tiger
નાવી	Navi
હજારનું	of a thousand
ભાવેશ	Bhavesh
સ્નેપચેટને	To Snapchat
પીડાતા	suffering
આમિરની	Aamir's
કરણનો	Karan's
વીઝા	Visa
ફેરા	Fera
સલમાનથી	From Salman
મોકલનારને	to the sender
પાંખીયાવાળા	Winged ones
ઉડતી	Flying
વાળાને	To the one
લખ્યું	Wrote
ઓપન	Open
વર્જિનીટી	Virginity
ઘેરી	dark
શોધો	Search
કેન્સરથી	from cancer
ખુરાનાની	Khurana's
ક્વોન્ટિકો	Quantico
દિવાળીમાં	In Diwali
શહેરના	city
ખરી	True
કોમોલિકાને	To Komolika
શિયોમીની	Xiaomini
વાજપેયીના	Vajpayee's
રહેમાન	Rahman
ઇમેલ	E-mail
ગ્રોથ	Growth
બેંગલોરઃ	Bangalore:
મોંઘું	costly
વસ્તુઓની	Things
કંપનીએ	The company
વહુએ	daughter-in-law
ટપકસિંચાઇ	Drip irrigation
લાતોથી	From the kicks
તે	It
રાખવામાં	kept
બીજાના	of others
નડી	Nadi
વિધાનસભામાં	In the Legislative Assembly
રોકવા	To stop
પ્રવેશ્યું	Logged in
રામદેવના	Ramdev's
ખન્ના	Khanna
ભૂલી	Forgot
રણમાં	in the desert
વાળ	hair
સન	Sun
વેપારીઓએ	Traders
કરિયાણાની	grocery
એકટ્રેસનો	Of the actress
બ્લૂ	Blue
પાદુકોણને	To Padukone
ટકરાશે	will collide
મોંઘી	Expensive
હોશ	Hosh
ડુબ્યા	drowned
ખરીદવાનો	To buy
શાહે	Shahe
પ્લેનમાં	In the plane
રદ	Canceled
નવો	New
અમૂલ	Amul
લાખોનો	of millions
સુવિધાથી	from the facility
વિમો	Vimo
એક્સ્ટ્રા	Extra
છેતરપિંડીનું	of fraud
બોયકોટની	Boycott's
રાવનું	Rao's
સફારી	Safari
હલચલ	Movement
ઘોડો	horse
લિયોનનો	Lyon's
ઈયરફોન્સ	Earphones
સ્મગલિંગનો	of smudging
રત્નકલાકારોની	of the jewelers
તસવીરને	To the picture
પીયૂષ	Piyush
તબક્કે	At the stage
જેઠાણી	Jethani
ભંગ	Breach
જીતી	Won
મહેંદીથી	from mehndi
અઠવાડિયામાં	in a week
સનીએ	Sunny
પોપ	The Pope
ડ્રોનના	of drones
ભગવાનના	God's
ગુજરાતઃ	Gujarat:
પ્રજાએ	the people
નાણા	Finance
ચુકાદા	Verdict
પહોંચે	Arrives
ઓટોમેટિક	Automatic
મિશા	Misha
અખાદ્ય	Inedible
કરણ	Karan
આપે	You give
એક્ટર્સ	Actors
કેમરોક	Camrock
મેવાણી	Mevani
બેન્દ્રેએ	Bendre
મોબાઇલથી	From mobile
રંગીલા	Rangila
91મી	91st
મહિલાઓએ	women
નીક	Nick
પાડવાના	to fall
લિન્ક	Link
સ્ટેટમેન્ટ્સ	Statements
છોકરાની	of the boy
નરગિસ	Nargis
મુગટ	Mugat
તેનો	His
પ્રતિ	Per
ઉઠી	Get up
રુ	Rs.
બહેનને	To the sister
પરી	Fairy
લાઇટ	Light
જાસૂસ	Detective
પરિવારોની	of families
તફાવત	Difference
ઊંચા	High
અગ્રવાલનું	Agarwal's
નીકળે	out
હોળીમાં	In Holi
ડરાવી	Scary
વેડિંગનું	Of the wedding
અવોર્ડ	Awards
અર્થતંત્ર	Economy
બીએફએફ	BFF
સુપરમેન	Superman
ઘટ્યા	decreased
ફિલ્મમેકર્સ	Filmmakers
સોફ્ટવેર	Software
ડીઝલનો	of diesel
એકસ્ટ્રા	Extra
પ્રિંટીંગનો	of printing
રાની	Rani
શ્રીવાસ્તવ	Shrivastava
શેટ્ટીના	Shetty's
ધો	Dho
રીલિઝ	Release
જાન્યુઆરી	January
મિનિટોમાં	In minutes
સજી	Saji
ન્હાતી	bathing
ચોપડાની	Chopra's
મોહિની	Mohini
વર્ષીય	year
ટોકટાઇમવાળો	Talktime ones
નાસ	Nass
નાની	Small
ડિમાન્ડ	Demand
ભાસ્કર	Bhaskar
પોતાના	his own
કિંમતી	Valuable
ફવાદ	Fawad
ખોલવી	Opening
તસવીરો	Photos
અઢી	Two and a half
આતંકવાદી	Terrorist
દેજો	Dejo
775કરોડ	775 crore
દિકરો	Son
જોખમમાં	At risk
ગ્રેચ્યુઇટી	Gratuity
વધારે	more
અગ્રવાલે	Agarwal
સિંહની	of the lion
55માં	In 55
ઈશાએ	Isha
રાજીનામાં	resignation
20ની	Of 20
અભિષેકે	Abhishek
જેનાંથી	from which
11ના	Of 11
રેણુકા	Renuka
ટ્રાન્ઝેક્શન	Transactions
મોડી	Late
ડેબ્યૂ	Debut
મોખરે	At the top
મોબાઇલને	to mobile
સ્થિતી	Status
ફૂડ	Food
ખુદાબક્ષ	Khudabaksh
દેવીના	Devina
બોલબાલાઃ	Bolbala:
લાગશો	Feel like
સિઝનમાં	in the season
રાખજો	Keep it
પાંચમી	Fifth
જીજાની	Jijani
મીડિયાને	To the media
કેપેસીટી	Capacity
માગોને	To Ask
લગ્નનો	of marriage
કપાડિયાને	To Kapadia
કુમાર	Kumar
મૃત	dead
નંબરની	Number of
જીઓ	Geo
કૂદીને	by jumping
બજાર	market
આફ્રિકાનાં	Of Africa
દેખાય	Visible
ડુંગરી	Dungari
ફાળ્કે	Aalke
કંટ્રોલ	Control
પૈસાનું	of money
પાણીનો	Water
સાધ્યું	Sadhya
જવાનોના	of the jawans
ડિપાર્ટમેન્ટે	Department
મેરેટિયલ	Meratrial
લતાજીનું	Lataji's
જાણકારીઓ	Information
અણીયારા	Aniyara
સીક્રેટ	Secret
ટ્રાઈની	Trai's
વ્યાજદર	Interest Rate
નિધનથી	From death
ભટ્ટનો	Bhatt's
પ્રેરણાદાયી	Inspirational
આપ્યાં	given
ઈંસ્ટાગ્રામ	Instagram
ટેક	Tech Tech
ધનવાનો	The rich
શિવાયથી	Shivayathi
ઘટી	decreased
લીટરેચર	Literature
નકાર્યા	Rejected
આઈકન’	Icon'
10મીએ	On the 10th
ગરબો	Garbo
અક્ષરોથી	By Characters
વાંચો	Read it
નાગરીકને	to the citizen
સંબંધોની	of relationships
ઉમરમાં	in age
ખાતો	Eating
ડીઝલની	of diesel
સેઠે	Sethe
પાંડે	Pandey
મૃતદેહ	Body
રીંગ	Ring
કેદ	Imprisonment
માર્કેટીંગ	Marketing
પાનકાર્ડની	OF PAN CARD
કૌન	Kaun
કામકાજ	Work
બંને	both
ફીચર્સ	Features
કોનો	Whose
એલજીનો	LG's
પત્નીથી	from wife
અનુષ્કાનો	Anushka's
મિલન	Milan
લગાવનારી	Impostor
જાસૂસી	Espionage
વેકેશનમાં	On vacation
ગલી	Street
બળાત્કારી	Rapist
નાણાસંસ્થાઓએ	financial institutions
જરુર	Necessary
ગયો	Gone
હતો	was
એકટરની	of the actor
